Account_ID,Customer_ID,Branch_ID,Account_Type,Account_Open_Date.1,Account_Status,Current_Balance
A000153,C00616,BR011,Fixed Deposit,24-10-2025,Active,43466.37
A000154,C00770,BR005,Salary,25-08-2025,Active,11820.67
A000155,C01237,BR015,Savings,15-12-2022,Active,14451.38
A000156,C01403,BR006,Fixed Deposit,27-12-2024,Active,107290.06
A000157,C00417,BR008,Current,25-03-2023,Active,117404.21
A000158,C00118,BR007,Salary,01-09-2023,Active,282648.75
A000159,C00284,BR006,Savings,06-08-2024,Active,20280.92
A000160,C01893,BR001,Savings,27-12-2023,Active,108387.02
A000161,C02922,BR005,Savings,01-06-2024,Active,53243.25
A000162,C00076,BR002,Current,24-05-2022,Inactive,52875.14
A000163,C00105,BR001,Savings,10-03-2023,Active,30897.46
A000164,C02343,BR009,Fixed Deposit,30-03-2025,Active,210320.57
A000165,C02175,BR007,Savings,23-06-2024,Active,43608.98
A000166,C02202,BR013,Savings,14-05-2025,Active,80967.22
A000167,C00520,BR012,Savings,11-11-2025,Active,25586.44
A000168,C02597,BR013,Savings,04-06-2023,Active,71986.22
A000169,C01871,BR002,Savings,22-01-2023,Active,103120.06
A000170,C00474,BR006,Salary,29-03-2023,Active,124608.58
A000171,C00347,BR013,Fixed Deposit,16-04-2024,Active,111731.39
A000172,C01808,BR006,Savings,04-01-2023,Active,33567.87
A000173,C02338,BR012,Savings,25-07-2023,Active,63966.91
A000174,C02344,BR005,Salary,11-09-2022,Active,13896.31
A000175,C01763,BR012,Savings,18-07-2023,Active,11498.4
A000176,C01548,BR006,Salary,16-10-2025,Active,34223.03
A000177,C02087,BR001,Current,12-09-2023,Inactive,40215.61
A000178,C00393,BR005,Fixed Deposit,13-01-2025,Active,484603.53
A000179,C01095,BR011,Savings,21-09-2023,Active,23446.06
A000180,C00297,BR014,Fixed Deposit,26-09-2023,Active,57860.48
A000181,C02517,BR007,Fixed Deposit,20-08-2024,Inactive,541928.02
A000182,C01818,BR001,Savings,10-06-2022,Active,57577.57
A000183,C02332,BR006,Savings,04-06-2023,Active,54388.62
A000184,C01493,BR005,Savings,23-07-2022,Active,8329.93
A000185,C02790,BR009,Savings,18-10-2022,Active,121698.83
A000186,C02789,BR012,Fixed Deposit,03-11-2024,Active,115959.21
A000187,C01850,BR015,Savings,13-09-2022,Active,39995.1
A000188,C02502,BR013,Savings,24-10-2022,Closed,85984.44
A000189,C01979,BR006,Savings,16-04-2024,Active,33606.97
A000190,C02172,BR008,Current,24-05-2023,Active,109706.86
A000191,C00742,BR013,Fixed Deposit,29-06-2022,Active,182913.9
A000192,C02948,BR006,Current,30-10-2025,Active,27013.71
A000193,C00554,BR013,Current,10-09-2025,Inactive,130953.87
A000194,C02084,BR010,Savings,29-04-2024,Active,41459.8
A000195,C01821,BR014,Salary,06-02-2024,Active,17105.59
A000196,C00278,BR011,Savings,26-03-2025,Active,29059.45
A000197,C02324,BR012,Savings,23-11-2025,Active,28344.85
A000198,C00233,BR010,Current,01-06-2022,Inactive,29108.03
A000199,C01529,BR006,Fixed Deposit,23-05-2022,Active,311531.81
A000200,C02448,BR006,Salary,28-04-2023,Active,133292.95
A000201,C00376,BR006,Salary,21-03-2023,Active,10456.8
A000202,C01083,BR011,Savings,01-08-2025,Active,53093.59
A000203,C01525,BR010,Savings,13-01-2024,Active,24482.92
A000204,C02773,BR008,Current,30-03-2025,Active,77753.17
A000205,C01146,BR011,Salary,01-09-2024,Active,37296.42
A000206,C00355,BR006,Salary,22-11-2024,Active,37780.01
A000207,C00395,BR011,Current,29-10-2025,Active,58088.57
A000208,C00597,BR001,Savings,08-05-2024,Active,13384.7
A000209,C02600,BR005,Savings,08-02-2025,Active,88392.17
A000210,C02320,BR010,Savings,28-01-2023,Active,37499.04
A000211,C01254,BR003,Salary,15-01-2023,Active,57980.11
A000212,C02543,BR006,Fixed Deposit,05-05-2024,Active,200606.5
A000213,C02756,BR005,Current,10-08-2025,Active,69448.76
A000214,C02602,BR008,Salary,16-03-2022,Active,59813.92
A000215,C00014,BR002,Salary,03-01-2024,Active,30441.08
A000216,C00298,BR013,Savings,23-10-2022,Active,83212.05
A000217,C02177,BR009,Savings,16-07-2025,Active,17711.51
A000218,C01146,BR011,Savings,28-01-2024,Active,77508.87
A000219,C00477,BR007,Fixed Deposit,03-03-2022,Active,71734.88
A000220,C01940,BR008,Savings,03-01-2022,Active,49265.77
A000221,C01067,BR006,Current,23-07-2024,Active,279724.43
A000222,C02757,BR002,Savings,06-12-2022,Active,30668.59
A000223,C01731,BR011,Current,02-03-2022,Active,18825
A000224,C00718,BR001,Savings,11-08-2022,Active,25583.68
A000225,C02804,BR006,Fixed Deposit,14-08-2022,Active,56572.37
A000226,C01802,BR010,Savings,20-05-2023,Active,123959.6
A000227,C00889,BR012,Fixed Deposit,15-11-2024,Closed,93632.6
A000228,C00431,BR001,Current,08-06-2025,Active,92522.58
A000229,C01666,BR008,Savings,17-02-2024,Active,43339.33
A000230,C02242,BR008,Salary,16-10-2025,Closed,51261.15
A000231,C02508,BR008,Current,02-03-2025,Active,112742
A000232,C00383,BR012,Savings,30-08-2022,Active,54482.35
A000233,C01297,BR012,Salary,10-12-2024,Inactive,37692.88
A000234,C03000,BR007,Current,04-12-2022,Active,28120.62
A000235,C01983,BR013,Current,08-11-2025,Active,70869.31
A000236,C00277,BR009,Salary,22-05-2025,Active,48607.96
A000237,C02752,BR010,Current,04-04-2022,Closed,234437.05
A000238,C02057,BR001,Savings,10-09-2022,Active,20550.3
A000239,C01381,BR005,Savings,07-10-2023,Active,33151.91
A000240,C02332,BR006,Savings,19-12-2024,Active,23836.55
A000241,C01946,BR007,Current,17-03-2024,Closed,46243.03
A000242,C00774,BR003,Savings,05-05-2022,Active,62065.1
A000243,C02390,BR006,Savings,07-07-2024,Active,43749.71
A000244,C00765,BR005,Salary,05-08-2024,Active,53077.75
A000245,C00687,BR007,Savings,20-09-2025,Active,38679.22
A000246,C01789,BR006,Savings,24-01-2023,Active,1393.65
A000247,C00056,BR008,Fixed Deposit,25-02-2022,Active,147079.82
A000248,C01892,BR002,Salary,31-12-2024,Active,63853.48
A000249,C01652,BR011,Salary,23-10-2024,Active,17156.1
A000250,C02162,BR007,Savings,29-01-2024,Active,72417.77
A000251,C00478,BR010,Current,08-10-2024,Active,288957.35
A000252,C01741,BR004,Fixed Deposit,19-09-2022,Active,1346064.2
A000253,C01325,BR005,Savings,03-07-2022,Active,21186.96
A000254,C00524,BR006,Savings,11-08-2023,Active,35286.5
A000255,C01356,BR008,Savings,30-07-2025,Active,33714.85
A000256,C02773,BR008,Fixed Deposit,22-01-2024,Active,472341.31
A000257,C02473,BR007,Savings,22-07-2024,Active,4784.61
A000258,C00500,BR001,Savings,26-12-2025,Active,18753.66
A000259,C02541,BR007,Current,19-03-2023,Active,80027.1
A000260,C01696,BR009,Fixed Deposit,03-12-2023,Active,61033.85
A000261,C00142,BR008,Savings,28-09-2024,Active,22983.04
A000262,C02761,BR005,Current,09-08-2022,Closed,24205.69
A000263,C01578,BR013,Fixed Deposit,11-08-2023,Active,137335.27
A000264,C02739,BR013,Savings,22-03-2024,Closed,23117.32
A000265,C00296,BR005,Current,20-03-2023,Active,77377.4
A000266,C00504,BR015,Savings,18-11-2022,Active,28295.62
A000267,C02706,BR006,Savings,02-10-2023,Active,8311.2
A000268,C00716,BR006,Savings,09-07-2025,Inactive,46988.64
A000269,C01649,BR008,Savings,31-08-2023,Inactive,273760.64
A000270,C01806,BR014,Savings,03-05-2025,Active,87283.88
A000271,C02845,BR008,Salary,15-09-2024,Active,62345.94
A000272,C01012,BR006,Savings,07-07-2022,Active,29642.57
A000273,C02262,BR001,Savings,28-08-2025,Active,23059.48
A000274,C02193,BR001,Salary,09-05-2024,Closed,21738.97
A000275,C02103,BR006,Fixed Deposit,11-04-2024,Active,102597.61
A000276,C01568,BR004,Savings,14-10-2024,Active,13327.16
A000277,C00214,BR006,Savings,02-03-2022,Active,42209.46
A000278,C00799,BR008,Savings,03-01-2023,Active,19910.74
A000279,C01683,BR015,Fixed Deposit,07-03-2025,Active,147581.79
A000280,C01234,BR010,Fixed Deposit,04-07-2024,Active,105904.27
A000281,C00554,BR013,Savings,23-07-2023,Active,101378.99
A000282,C02074,BR002,Savings,07-11-2023,Active,39368.64
A000283,C01384,BR015,Current,24-06-2024,Active,86656.21
A000284,C02356,BR003,Salary,06-12-2023,Closed,19742.32
A000285,C01645,BR005,Savings,31-10-2023,Active,75423.53
A000286,C01109,BR007,Savings,16-03-2024,Closed,27159.76
A000287,C00327,BR002,Savings,16-02-2023,Active,54629.42
A000288,C00315,BR010,Salary,12-04-2024,Inactive,25011.82
A000289,C01522,BR006,Fixed Deposit,08-10-2024,Active,127515
A000290,C01060,BR014,Savings,03-11-2024,Active,36065.95
A000291,C02155,BR012,Fixed Deposit,25-06-2024,Active,122822.87
A000292,C01892,BR002,Savings,23-10-2023,Active,56889.28
A000293,C00853,BR013,Salary,15-08-2024,Active,128657.82
A000294,C02280,BR007,Fixed Deposit,21-11-2024,Active,312725.63
A000295,C01698,BR002,Current,30-03-2023,Inactive,45415.23
A000296,C02639,BR006,Savings,11-12-2023,Active,17092.66
A000297,C02860,BR008,Savings,17-09-2024,Active,77697.9
A000298,C02886,BR014,Salary,26-08-2024,Active,22667.97
A000299,C00381,BR002,Current,26-12-2023,Active,207158.95
A000300,C01589,BR011,Savings,20-01-2023,Inactive,66872.75
A000301,C00087,BR013,Current,22-08-2025,Active,232142.66
A000302,C02641,BR005,Savings,02-03-2024,Active,82315.21
A000303,C02108,BR004,Savings,01-03-2024,Active,79823.11
A000304,C00787,BR015,Salary,15-11-2023,Active,12031.86
A000305,C01822,BR001,Savings,15-01-2025,Active,16863.17
A000306,C01679,BR015,Savings,18-03-2023,Active,10899.8
A000307,C01630,BR005,Savings,01-10-2025,Active,10293.38
A000308,C01619,BR002,Fixed Deposit,02-04-2022,Active,72658.6
A000309,C02953,BR011,Savings,19-01-2022,Active,15139.52
A000310,C02307,BR007,Savings,16-01-2024,Active,13434.12
A000311,C01208,BR001,Savings,09-06-2025,Active,33376.75
A000312,C02320,BR010,Savings,15-01-2022,Active,18564.82
A000313,C00423,BR009,Savings,18-09-2024,Active,239359.46
A000314,C00857,BR008,Savings,24-07-2023,Inactive,27741.7
A000315,C00353,BR002,Savings,01-02-2022,Active,51098.01
A000316,C02658,BR011,Current,26-06-2023,Inactive,81232.84
A000317,C00072,BR005,Savings,02-08-2024,Active,8521.72
A000318,C02675,BR003,Savings,14-07-2024,Active,18839.24
A000319,C02497,BR002,Salary,25-05-2025,Active,19011.94
A000320,C02845,BR008,Savings,13-12-2025,Active,18899.06
A000321,C02298,BR001,Savings,21-03-2022,Active,8982.69
A000322,C01373,BR001,Fixed Deposit,07-06-2025,Active,62509.25
A000323,C02435,BR002,Current,15-01-2022,Active,37342.78
A000324,C02963,BR005,Current,25-11-2025,Active,43977.57
A000325,C02678,BR009,Current,04-02-2025,Active,58673.74
A000326,C02355,BR008,Fixed Deposit,21-10-2025,Active,36166.74
A000327,C02301,BR004,Savings,09-04-2022,Active,
A000328,C01960,BR012,Savings,19-04-2022,Active,4473.19
A000329,C02676,BR006,Salary,10-12-2025,Active,18804.25
A000330,C01297,BR012,Savings,16-02-2023,Active,10915.54
A000331,C01503,BR004,Current,12-07-2023,Active,16259.1
A000332,C02528,BR008,Savings,10-03-2023,Active,113933.83
A000333,C00788,BR003,Savings,18-08-2022,Active,18863.19
A000334,C02293,BR005,Current,14-04-2022,Active,6012.08
A000335,C00332,BR006,Current,17-07-2022,Active,173122.11
A000336,C01757,BR006,Current,21-05-2025,Active,64987.03
A000337,C00105,BR001,Savings,09-02-2022,Active,4955.75
A000338,C02992,BR005,Savings,01-08-2025,Active,21811.48
A000339,C02527,BR005,Salary,18-11-2022,Active,16769.86
A000340,C00749,BR008,Savings,02-06-2024,Active,8103.96
A000341,C00451,BR001,Current,12-01-2023,Active,43031
A000342,C01926,BR003,Current,25-07-2025,Inactive,25330.94
A000343,C02705,BR001,Savings,01-03-2022,Inactive,23684.44
A000344,C00964,BR005,Savings,09-11-2024,Active,32734.38
A000345,C02885,BR004,Salary,27-09-2025,Active,18486.95
A000346,C01374,BR007,Savings,06-10-2023,Inactive,8014.27
A000347,C01326,BR006,Savings,21-10-2023,Active,30335.75
A000348,C01017,BR001,Fixed Deposit,07-08-2022,Closed,213816.02
A000349,C00813,BR008,Savings,07-07-2025,Active,69595.46
A000350,C01004,BR014,Salary,01-11-2025,Closed,54273.86
A000351,C00519,BR008,Savings,27-12-2023,Active,182725.19
A000352,C01131,BR003,Savings,08-10-2024,Active,38429.59
A000353,C00870,BR005,Current,12-01-2025,Active,272759.68
A000354,C00171,BR012,Savings,02-06-2023,Active,25796.88
A000355,C01088,BR001,Salary,06-01-2022,Active,149952.41
A000356,C00120,BR014,Savings,07-07-2022,Active,35306.84
A000357,C00543,BR009,Current,03-08-2025,Active,24932.69
A000358,C02175,BR007,Salary,13-03-2025,Inactive,55414.38
A000359,C00076,BR002,Current,19-05-2022,Closed,33685.54
A000360,C00933,BR013,Savings,17-03-2025,Inactive,22889.39
A000361,C02053,BR007,Savings,14-07-2025,Closed,55380.51
A000362,C00064,BR010,Savings,04-03-2024,Active,65218.74
A000363,C02213,BR012,Fixed Deposit,22-10-2023,Inactive,29627.05
A000364,C00245,BR004,Current,31-12-2025,Active,34382.14
A000365,C00166,BR010,Current,27-06-2025,Active,91478.63
A000366,C00588,BR008,Savings,19-07-2023,Inactive,79178.69
A000367,C02582,BR001,Savings,28-11-2023,Active,13811.05
A000368,C00145,BR011,Savings,08-10-2025,Active,35041.46
A000369,C00297,BR014,Savings,08-09-2025,Active,2946.62
A000370,C02839,BR007,Savings,09-07-2024,Active,65663.82
A000371,C01831,BR010,Savings,05-08-2024,Active,17995.59
A000372,C01706,BR001,Savings,11-12-2024,Active,18406.39
A000373,C00122,BR007,Current,27-02-2023,Active,200570.7
A000374,C01183,BR004,Savings,01-09-2025,Active,59239.39
A000375,C01730,BR013,Savings,06-03-2023,Active,267309.62
A000376,C01599,BR007,Salary,29-04-2025,Active,9348.99
A000377,C01564,BR005,Current,13-04-2025,Active,57682.7
A000378,C00339,BR001,Savings,26-02-2023,Active,42509.63
A000379,C02967,BR008,Salary,25-03-2025,Active,18871.1
A000380,C02106,BR001,Savings,21-06-2025,Inactive,71228.68
A000381,C00725,BR006,Current,27-12-2023,Active,53001.7
A000382,C02909,BR001,Fixed Deposit,28-02-2024,Closed,177726.02
A000383,C00905,BR012,Savings,15-01-2024,Active,28335.95
A000384,C00392,BR001,Current,07-03-2022,Inactive,122389.02
A000385,C02680,BR006,Savings,29-02-2024,Active,15514.7
A000386,C00458,BR006,Savings,11-09-2024,Active,181663.55
A000387,C00183,BR005,Savings,30-03-2024,Active,8253.5
A000388,C01886,BR011,Savings,01-01-2024,Active,19177.71
A000389,C00793,BR013,Savings,03-01-2024,Active,10464.85
A000390,C00456,BR008,Savings,24-02-2024,Active,69103.25
A000391,C00308,BR010,Savings,19-09-2025,Active,55368.84
A000392,C00379,BR013,Savings,25-08-2023,Active,12427.21
A000393,C02883,BR009,Savings,24-11-2022,Active,81687
A000394,C02012,BR003,Savings,04-04-2022,Active,19328.63
A000395,C02529,BR007,Savings,26-06-2025,Active,48645.97
A000396,C01856,BR008,Savings,21-09-2022,Active,59391.86
A000397,C01631,BR004,Salary,02-09-2023,Active,28423.26
A000398,C00654,BR013,Fixed Deposit,10-01-2025,Inactive,41556.96
A000399,C02902,BR003,Savings,18-09-2022,Active,30964.95
A000400,C02470,BR003,Savings,09-12-2022,Inactive,46678.02
A000401,C01585,BR005,Fixed Deposit,17-07-2024,Active,264014.06
A000402,C00316,BR003,Current,06-07-2024,Active,54107.48
A000403,C02281,BR007,Fixed Deposit,22-12-2022,Active,114040.08
A000404,C00998,BR013,Salary,02-03-2024,Active,16655.36
A000405,C00628,BR006,Salary,25-10-2024,Active,114294.31
A000406,C02217,BR007,Savings,20-11-2022,Active,10976.96
A000407,C02512,BR015,Savings,10-10-2023,Active,99148.04
A000408,C01842,BR008,Current,14-02-2023,Active,47394.83
A000409,C00222,BR008,Current,05-10-2025,Active,154804.38
A000410,C01801,BR008,Salary,15-07-2023,Inactive,10831.07
A000411,C02757,BR002,Fixed Deposit,04-06-2025,Active,109305.16
A000412,C02059,BR001,Savings,09-07-2025,Active,19894.06
A000413,C00797,BR005,Savings,03-09-2022,Active,209160.97
A000414,C01940,BR008,Fixed Deposit,07-10-2025,Active,91296.29
A000415,C00747,BR008,Salary,13-03-2022,Active,93290.49
A000416,C02623,BR013,Salary,20-07-2023,Active,94406.33
A000417,C02538,BR008,Current,21-08-2022,Active,49067.18
A000418,C01707,BR006,Fixed Deposit,09-03-2022,Active,134918.97
A000419,C00406,BR003,Savings,17-03-2024,Active,162310.28
A000420,C01204,BR006,Savings,27-05-2024,Active,193582.2
A000421,C00363,BR015,Savings,30-04-2024,Active,47817.75
A000422,C02299,BR001,Savings,03-09-2023,Closed,23564.92
A000423,C02042,BR006,Salary,23-02-2025,Active,16840.7
A000424,C00778,BR010,Savings,21-12-2023,Active,52265.86
A000425,C02569,BR013,Current,21-02-2024,Active,108409.88
A000426,C02279,BR010,Savings,08-10-2023,Active,40880.61
A000427,C02810,BR006,Salary,30-10-2022,Active,11130.18
A000428,C00840,BR011,Savings,14-08-2024,Closed,35994.12
A000429,C00525,BR002,Current,26-04-2025,Active,69564.81
A000430,C01442,BR009,Savings,21-03-2023,Active,69983.19
A000431,C00796,BR008,Savings,09-11-2023,Inactive,24614.71
A000432,C02218,BR005,Savings,28-07-2025,Active,31901.81
A000433,C01277,BR006,Current,29-10-2022,Active,373955.58
A000434,C01883,BR006,Current,08-09-2023,Inactive,34021.8
A000435,C00516,BR004,Fixed Deposit,29-01-2023,Active,347844.21
A000436,C00258,BR004,Fixed Deposit,15-05-2023,Active,
A000437,C02813,BR009,Savings,02-11-2023,Active,19200.81
