Loan_ID,Customer_ID,Branch_ID,Loan_Type,Application_Date.1,Loan_Amount,Interest_Rate,Tenure_Months,Approval_Status,Loan_Status,Estimated_Interest
L000068,C02307,BR007,Home,16-11-2025,1651428.05,11.86,84,Approved,Active,1371015.57
L000069,C02750,BR013,Auto,29-06-2023,484274.76,13.15,36,Approved,Active,191046.39
L000070,C00107,BR008,Personal,04-08-2023,352806.31,9,84,Approved,Active,222267.98
L000071,C01426,BR008,Home,26-04-2024,2118416.71,14.04,12,Pending,Under Review,297425.71
L000072,C01573,BR009,Education,12-11-2023,516301.78,8.69,60,Approved,Active,224333.12
L000073,C01846,BR007,Business,15-04-2023,2024209.58,7.96,48,Approved,Active,644508.33
L000074,C01656,BR012,Home,24-03-2024,741954.22,8.66,24,Approved,Closed,128506.47
L000075,C02533,BR009,Auto,14-01-2024,182856.91,7.26,84,Pending,Under Review,92927.88
L000076,C02247,BR012,Business,24-07-2023,885522.31,10.5,36,Approved,Active,278939.53
L000077,C00631,BR005,Education,31-01-2025,459609.12,9.19,36,Approved,Defaulted,126714.23
L000078,C00502,BR003,Education,09-10-2023,147923.15,13.29,48,Approved,Closed,78635.95
L000079,C01292,BR003,Auto,15-11-2025,562317.4,8.8,12,Rejected,Rejected,49483.93
L000080,C02824,BR005,Personal,24-03-2024,417442.12,13.55,60,Approved,Closed,282817.04
L000081,C00604,BR011,Home,23-10-2025,2823344.67,12.87,48,Approved,Active,1453457.84
L000082,C00243,BR001,Personal,22-04-2025,407578.28,14.5,24,Approved,Active,118197.7
L000083,C02939,BR015,Personal,06-02-2024,604438.05,10.29,180,Approved,Defaulted,932950.13
L000084,C02813,BR009,Auto,11-01-2024,530756.43,11.11,12,Approved,Active,58967.04
L000085,C01702,BR007,Home,28-08-2024,2183404.58,11.11,84,Approved,Closed,1698033.74
L000086,C00917,BR002,Auto,24-08-2024,506487.26,9.7,36,Approved,Active,147387.79
L000087,C00366,BR001,Business,07-04-2025,1800394.7,7.66,60,Approved,Closed,689551.17
L000088,C01936,BR012,Personal,30-03-2025,470589.78,8.65,180,Approved,Active,610590.24
L000089,C02320,BR010,Personal,06-07-2024,118480.57,9,48,Approved,Active,42653.01
L000090,C01949,BR015,Home,29-06-2025,752811.78,10.92,120,Pending,Under Review,822070.46
L000091,C02619,BR010,Auto,28-04-2025,1194311.24,12.97,12,Approved,Closed,154902.17
L000092,C00878,BR006,Auto,24-05-2025,870187.56,12.63,48,Approved,Active,439618.76
L000093,C00901,BR008,Business,09-02-2023,1354774.39,9.85,60,Rejected,Rejected,667226.39
L000094,C02280,BR007,Home,25-10-2023,1209613.15,12.27,12,Approved,Active,148419.53
L000095,C00106,BR003,Personal,27-06-2023,738810.29,7.72,36,Approved,Closed,171108.46
L000096,C00990,BR007,Education,13-11-2024,603466.02,7.54,240,Pending,Under Review,910026.76
L000097,C01685,BR006,Home,05-06-2024,2046410.64,11.76,240,Approved,Active,4813157.83
L000098,C01800,BR007,Business,22-05-2023,639440.5,13.94,120,Approved,Active,891380.06
L000099,C02145,BR006,Auto,19-03-2023,843762.61,11.06,48,Approved,Active,373280.58
L000100,C02783,BR005,Business,12-06-2023,1270928.17,10.99,60,Approved,Closed,698375.03
L000101,C01231,BR008,Personal,19-02-2025,587170.26,13.51,36,Approved,Active,237980.11
L000102,C01850,BR015,Personal,03-04-2023,219401.75,11.79,36,Approved,Active,77602.4
L000103,C02080,BR011,Business,17-02-2023,1366322.68,14.07,48,Approved,Closed,768966.4
L000104,C02239,BR015,Personal,14-12-2025,142107.92,7.71,180,Approved,Active,164347.81
L000105,C02888,BR009,Auto,04-05-2025,145718.77,9.13,12,Approved,Active,13304.12
L000106,C02952,BR007,Home,04-09-2023,743364.42,8.82,36,Approved,Active,196694.23
L000107,C02216,BR005,Auto,01-02-2023,127385.93,10.29,120,Approved,Active,131080.12
L000108,C01477,BR009,Personal,17-07-2025,381792.66,14.63,240,Approved,Active,1117125.32
L000109,C00099,BR009,Education,16-01-2025,687305.83,10.87,12,Approved,Active,74710.14
L000110,C01887,BR013,Personal,09-10-2024,689700.43,14.71,84,Rejected,Rejected,710184.53
L000111,C01561,BR005,Personal,04-08-2023,713158.11,10.25,24,Rejected,Rejected,146197.41
L000112,C00089,BR002,Auto,17-08-2025,560264.54,13.02,24,Approved,Defaulted,145892.89
L000113,C01944,BR010,Education,27-04-2025,364406.51,10.8,12,Rejected,Rejected,39355.9
L000114,C02168,BR004,Auto,17-08-2025,112150.28,11.59,60,Approved,Closed,64991.09
L000115,C01674,BR003,Home,22-04-2024,2780519.08,12.61,48,Pending,Under Review,1402493.82
L000116,C02533,BR009,Home,11-04-2023,2083870.61,11.8,12,Rejected,Rejected,245896.73
L000117,C00768,BR002,Personal,29-11-2023,196317.53,8.49,120,Pending,Under Review,166673.58
L000118,C00840,BR011,Personal,12-10-2024,432717.47,14.1,180,Approved,Active,915197.45
L000119,C01731,BR011,Personal,18-04-2024,493828.49,8.64,84,Approved,Active,298667.47
L000120,C00135,BR009,Personal,04-11-2025,711922.67,12.51,24,Approved,Active,178123.05
L000121,C01383,BR005,Home,26-06-2024,1803344.91,13.67,48,Approved,Active,986069
L000122,C00687,BR007,Auto,08-01-2024,626440.37,12.72,36,Pending,Under Review,239049.65
L000123,C01212,BR001,Auto,14-03-2024,371395.69,11.46,84,Approved,Active,297933.62
L000124,C00410,BR009,Auto,13-06-2024,458077.07,11.22,24,Approved,Closed,102792.49
L000125,C00389,BR009,Personal,19-05-2024,395711.26,10.23,60,Rejected,Rejected,202406.31
L000126,C02370,BR005,Education,09-01-2023,240970,7.43,12,Approved,Active,17904.07
L000127,C00406,BR003,Education,20-04-2025,413925.16,9.87,36,Approved,Closed,122563.24
L000128,C01666,BR008,Business,29-04-2023,1852029.14,11.36,48,Approved,Closed,841562.04
L000129,C02268,BR015,Home,28-11-2025,977107.38,14.05,24,Approved,Active,274567.17
L000130,C00568,BR014,Business,19-08-2025,1312442.9,7.8,240,Approved,Active,2047410.92
L000131,C00934,BR011,Personal,27-05-2024,450012.9,12.51,60,Approved,Active,281483.07
L000132,C00580,BR013,Business,07-08-2023,883099.83,8.46,60,Approved,Closed,373551.23
L000133,C02975,BR001,Home,04-12-2024,505238.91,7.77,60,Approved,Active,196285.32
L000134,C00965,BR003,Personal,18-02-2023,103722.54,12.55,84,Approved,Active,91120.25
L000135,C01358,BR006,Auto,23-03-2025,736202.23,8.46,84,Approved,Defaulted,435978.96
L000136,C01244,BR002,Business,06-09-2024,2457641.46,10.74,12,Approved,Active,263950.69
L000137,C02777,BR011,Personal,19-01-2024,536302.23,13.2,12,Approved,Active,70791.89
L000138,C01405,BR004,Personal,17-01-2025,377210.59,9.26,60,Approved,Closed,174648.5
L000139,C01521,BR004,Home,29-09-2025,1732240.23,9.1,36,Approved,Active,472901.58
L000140,C00114,BR015,Personal,06-12-2023,221750.95,12.1,180,Approved,Active,402477.97
L000141,C02240,BR006,Education,30-09-2024,332127.43,8.52,60,Approved,Active,141486.29
L000142,C01627,BR011,Auto,08-07-2024,401625.16,12.77,240,Approved,Active,1025750.66
L000143,C02488,BR006,Home,27-12-2025,2743499.26,14.51,120,Approved,Closed,3980817.43
L000144,C02282,BR006,Auto,03-10-2023,705506.64,8.52,84,Approved,Closed,420764.16
L000145,C00106,BR003,Personal,25-06-2024,402020.45,13.01,120,Approved,Defaulted,523028.61
L000146,C00567,BR002,Personal,14-05-2023,116546.68,9.38,24,Approved,Active,21864.16
L000147,C02603,BR006,Home,19-04-2023,2636999.13,10.86,120,Approved,Closed,2863781.06
L000148,C01224,BR008,Business,17-02-2025,1963441.93,8.42,120,Rejected,Rejected,1653218.11
L000149,C00078,BR013,Education,28-10-2024,359650.18,13.85,240,Approved,Active,996231
L000150,C02298,BR001,Personal,21-02-2025,750350.03,7.46,240,Pending,Under Review,1119522.24
L000151,C01161,BR001,Personal,11-02-2025,700237.79,11.2,180,Rejected,Rejected,1176399.49
L000152,C02224,BR005,Home,29-04-2025,2614643.43,13.15,84,Approved,Active,2406779.28
L000153,C02643,BR011,Home,13-05-2025,798895.09,14.54,240,Approved,Active,2323186.92
L000154,C02057,BR001,Home,14-10-2023,514115.43,11.02,84,Approved,Closed,396588.64
L000155,C02919,BR005,Business,21-07-2024,1052759.82,7.33,36,Approved,Defaulted,231501.88
L000156,C02407,BR010,Auto,18-07-2025,561318.51,9.08,48,Approved,Active,203870.88
L000157,C01553,BR005,Personal,02-10-2023,483636.98,8.37,240,Approved,Active,809608.3
L000158,C01126,BR007,Home,13-06-2024,1989810.88,7.74,12,Approved,Active,154011.36
L000159,C01059,BR013,Personal,18-11-2025,168617.72,11.91,24,Approved,Active,40164.74
L000160,C00423,BR009,Personal,28-05-2025,612939.94,11.75,24,Approved,Closed,144040.89
L000161,C01397,BR015,Personal,23-11-2025,110780.93,7.44,12,Approved,Active,8242.1
L000162,C00951,BR013,Auto,28-03-2024,909038.11,13.17,240,Rejected,Rejected,2394406.38
L000163,C00171,BR012,Business,30-01-2024,664002.5,9.43,48,Approved,Active,250461.74
L000164,C00842,BR004,Home,15-11-2025,724686.03,9.04,60,Approved,Closed,327558.09
L000165,C02964,BR003,Business,04-03-2024,1059586.83,8.42,120,Approved,Active,892172.11
L000166,C00821,BR006,Personal,04-05-2023,302295.96,12.83,60,Approved,Active,193922.86
L000167,C01733,BR008,Auto,14-01-2023,163047.01,9.73,84,Approved,Active,111051.32
L000168,C01108,BR015,Education,22-11-2024,417933.75,9.63,60,Approved,Active,201235.1
L000169,C01617,BR010,Home,03-11-2023,1002537.39,8.74,12,Approved,Active,87621.77
L000170,C00179,BR015,Auto,20-10-2025,1164484,11.11,24,Rejected,Rejected,258748.34
L000171,C01340,BR008,Home,17-12-2023,1491663.48,14.57,240,Approved,Closed,4346707.38
L000172,C00953,BR008,Education,30-10-2024,295849.99,10.14,60,Approved,Active,149995.94
L000173,C00842,BR004,Business,18-03-2023,1329122.01,9.49,12,Approved,Active,126133.68
L000174,C00233,BR010,Personal,10-10-2024,843455.2,11.2,36,Approved,Defaulted,283400.95
L000175,C01832,BR012,Auto,10-02-2023,512334.83,13.44,180,Approved,Active,1032867.02
L000176,C02895,BR012,Home,12-02-2023,595829.56,12.82,84,Rejected,Rejected,534697.45
L000177,C02161,BR004,Personal,04-05-2024,375089.27,11.68,12,Rejected,Rejected,43810.43
L000178,C01788,BR005,Education,16-09-2025,539236.1,12.24,240,Approved,Active,1320049.97
L000179,C00528,BR006,Education,11-07-2025,395882.52,11.09,240,Approved,Active,878067.43
L000180,C00370,BR008,Home,16-08-2023,2290099.33,11.11,240,Approved,Defaulted,5088600.71
L000181,C01815,BR006,Home,30-08-2025,2089476.69,12.73,120,Approved,Active,2659903.83
L000182,C00790,BR015,Personal,18-05-2023,540412.37,8.81,120,Approved,Closed,476103.3
L000183,C01392,BR003,Business,19-01-2024,709145.48,7.34,240,Approved,Active,1041025.56
L000184,C01872,BR005,Business,22-10-2023,850727.62,7.63,240,Approved,Active,1298210.35
L000185,C02986,BR001,Education,18-02-2025,665048.07,11.39,120,Rejected,Rejected,757489.75
L000186,C01431,BR014,Home,18-08-2025,1740440.39,9.6,120,Approved,Active,1670822.77
L000187,C00802,BR012,Home,29-01-2024,1981438.31,14.15,12,Rejected,Rejected,280373.52
L000188,C01098,BR009,Business,21-06-2023,1898870.19,9.64,48,Approved,Active,732204.35
L000189,C01535,BR007,Personal,28-03-2025,490098.41,9.85,84,Approved,Active,337922.85
L000190,C02606,BR005,Auto,16-07-2023,417517.66,7.56,240,Rejected,Rejected,631286.7
L000191,C00559,BR007,Business,13-12-2023,1303848.13,7.78,24,Pending,Under Review,202878.77
L000192,C00620,BR002,Business,21-02-2023,1534667.95,7.75,240,Rejected,Rejected,2378735.32
L000193,C02625,BR011,Personal,29-06-2023,70671.12,11.53,84,Approved,Active,57038.66
L000194,C01768,BR010,Personal,12-02-2023,452033.01,9.99,60,Rejected,Rejected,225790.49
L000195,C02780,BR002,Personal,07-02-2023,724525,11.54,36,Approved,Active,250830.56
L000196,C02059,BR001,Home,13-07-2023,860396.65,9.96,180,Rejected,Rejected,1285432.6
L000197,C01833,BR015,Auto,15-10-2025,1087222.44,13.55,48,Approved,Active,589274.56
L000198,C02984,BR008,Personal,18-08-2025,95701.15,13.46,84,Approved,Closed,90169.62
L000199,C02571,BR003,Home,14-08-2024,2405982.95,7.95,12,Rejected,Rejected,191275.64
L000200,C00109,BR014,Personal,21-01-2023,357085.22,13.11,36,Pending,Under Review,140441.62
L000201,C00005,BR001,Business,31-08-2023,783612.25,12.86,36,Approved,Active,302317.61
L000202,C01695,BR008,Business,26-10-2023,1570845.63,14.7,240,Approved,Active,4618286.15
L000203,C00674,BR010,Personal,15-11-2025,384825.62,11.07,36,Approved,Active,127800.59
L000204,C00130,BR002,Personal,18-07-2024,401891.23,13.72,24,Approved,Active,110278.95
L000205,C01299,BR006,Education,01-05-2025,671216.18,12.75,12,Approved,Closed,85580.06
L000206,C00295,BR009,Home,04-08-2023,2382950.65,10,240,Approved,Closed,4765901.3
L000207,C00774,BR003,Personal,08-10-2024,791985.24,8.28,60,Approved,Closed,327881.89
L000208,C01159,BR001,Home,30-10-2024,2770391.4,13.29,36,Approved,Active,1104555.05
L000209,C00570,BR005,Personal,18-11-2024,458839.96,8.08,180,Pending,Under Review,556114.03
L000210,C02345,BR006,Personal,22-01-2023,852537.58,12.36,36,Approved,Closed,316120.93
L000211,C00450,BR003,Auto,20-09-2024,386289.07,13.49,240,Approved,Closed,1042207.91
L000212,C00031,BR009,Home,11-05-2024,511401.27,9.61,48,Approved,Active,196582.65
L000213,C01408,BR014,Home,22-09-2023,2312918.4,11.29,84,Approved,Closed,1827899.41
L000214,C01547,BR007,Auto,06-09-2023,907055.05,10.5,84,Approved,Active,666685.46
L000215,C02407,BR010,Personal,22-12-2025,745179.14,7.66,12,Approved,Active,57080.72
L000216,C02227,BR005,Education,07-11-2025,407393.27,9.08,12,Approved,Active,36991.31
L000217,C00005,BR001,Personal,08-04-2024,837086.39,8.53,24,Approved,Active,142806.94
L000218,C02515,BR006,Auto,30-01-2025,682583.75,12.74,48,Approved,Active,347844.68
L000219,C00632,BR012,Home,19-11-2023,984500.87,7.29,12,Approved,Active,71770.11
L000220,C00672,BR013,Personal,07-11-2024,546393.85,8.45,12,Rejected,Rejected,46170.28
L000221,C00734,BR005,Home,13-02-2024,2449940.65,7.56,84,Approved,Active,1296508.59
L000222,C00235,BR001,Personal,27-11-2023,633099.52,11.09,240,Approved,Active,1404214.74
L000223,C01183,BR004,Home,06-09-2023,2981517.55,12.95,60,Rejected,Rejected,1930532.61
L000224,C02358,BR012,Personal,26-01-2024,568405.04,8.43,60,Approved,Active,239582.72
L000225,C02405,BR009,Auto,15-04-2024,791059.7,9.58,36,Approved,Active,227350.56
L000226,C02025,BR008,Education,13-06-2025,243080.77,9.4,180,Rejected,Rejected,342743.89
L000227,C00455,BR008,Home,05-08-2024,2493191.88,14.23,60,Rejected,Rejected,1773906.02
L000228,C01482,BR011,Home,31-01-2023,1713841.17,7.83,60,Approved,Active,670968.82
L000229,C00625,BR007,Business,29-05-2023,2010396.76,14.09,240,Rejected,Rejected,5665298.07
L000230,C01874,BR009,Personal,27-05-2024,644750.12,13.11,84,Rejected,Rejected,591687.19
L000231,C00886,BR005,Personal,31-08-2025,255378.09,9.67,240,Approved,Active,493901.23
L000232,C02574,BR004,Auto,23-10-2024,277476.17,12.03,36,Rejected,Rejected,100141.15
L000233,C01115,BR006,Personal,04-12-2025,372005.63,11.47,60,Approved,Active,213345.23
L000234,C01874,BR009,Personal,02-10-2025,577849.75,9.04,84,Approved,Closed,365663.32
L000235,C00832,BR001,Home,25-03-2024,2589052.44,13.74,36,Rejected,Rejected,1067207.42
L000236,C00651,BR009,Personal,27-04-2023,257825.4,12.93,180,Rejected,Rejected,500052.36
L000237,C02493,BR012,Business,11-11-2023,1373806.25,10.8,180,Approved,Defaulted,2225566.13
L000238,C01789,BR006,Home,01-04-2024,1223097.36,9.47,36,Approved,Defaulted,347481.96
L000239,C01272,BR005,Personal,26-01-2024,504564.33,10.46,120,Approved,Closed,527774.29
L000240,C02731,BR003,Personal,21-10-2025,100582.98,11.51,180,Approved,Active,173656.51
L000241,C02695,BR015,Auto,06-06-2023,391882.38,11.56,60,Approved,Active,226508.02
L000242,C00837,BR007,Auto,24-05-2023,341434.78,12.29,36,Rejected,Rejected,125887
L000243,C02629,BR006,Personal,24-01-2025,495235.88,14.22,60,Rejected,Rejected,352112.71
L000244,C00947,BR001,Personal,22-05-2024,328031.47,14,12,Approved,Active,45924.41
L000245,C00489,BR012,Business,08-03-2023,1416249.5,11.72,240,Pending,Under Review,3319688.83
L000246,C02836,BR010,Education,16-10-2024,377335.07,11.11,240,Approved,Defaulted,838438.53
L000247,C02354,BR012,Personal,17-10-2025,545624.36,10.26,240,Approved,Active,1119621.19
L000248,C02959,BR005,Auto,12-07-2023,484780.62,13.56,240,Approved,Active,1314725.04
L000249,C00773,BR005,Personal,09-04-2024,835198.79,10.13,24,Pending,Under Review,169211.27
L000250,C01488,BR003,Home,06-03-2025,2346378.35,9.77,60,Approved,Active,1146205.82
L000251,C01644,BR012,Auto,22-08-2025,596946.84,7.64,84,Rejected,Rejected,319247.17
L000252,C00637,BR006,Home,12-05-2023,1195570.64,10.92,120,Approved,Closed,1305563.14
L000253,C01325,BR005,Auto,31-05-2023,458377.86,10.94,24,Approved,Active,100293.08
L000254,C01491,BR010,Home,15-09-2024,2002396.63,7.89,120,Rejected,Rejected,1579890.94
L000255,C00838,BR010,Business,12-01-2025,2128550.67,14.75,240,Approved,Active,6279224.48
L000256,C02680,BR006,Personal,08-07-2024,458259.39,7.8,60,Approved,Closed,178721.16
L000257,C02021,BR014,Business,18-07-2024,671407.88,8.95,180,Pending,Under Review,901365.08
L000258,C01223,BR005,Auto,01-01-2025,1049782.01,9.01,36,Rejected,Rejected,283756.08
L000259,C00696,BR009,Education,16-11-2024,139622.55,7.25,240,Approved,Active,202452.7
L000260,C00578,BR007,Business,23-07-2025,1451425.87,12.11,240,Approved,Closed,3515353.46
L000261,C02019,BR011,Auto,17-09-2025,647560.13,8.22,180,Approved,Active,798441.64
L000262,C02879,BR014,Auto,21-03-2023,197877.68,8.66,60,Approved,Active,85681.04
L000263,C02451,BR007,Personal,18-05-2023,57939.88,10.49,180,Rejected,Rejected,91168.4
L000264,C01578,BR013,Personal,12-03-2025,675132.45,13.41,48,Pending,Under Review,362141.05
L000265,C00073,BR008,Education,03-07-2025,127555.64,10.12,36,Approved,Active,38725.89
L000266,C00134,BR005,Home,03-03-2024,2378207.72,12.78,84,Approved,Active,2127544.63
L000267,C02272,BR005,Auto,06-08-2025,596216.78,12.08,180,Approved,Defaulted,1080344.81
L000268,C00762,BR015,Personal,19-04-2024,152897.37,12.28,180,Approved,Active,281636.96
L000269,C02842,BR006,Education,24-11-2024,518458.89,14.25,180,Approved,Active,1108205.88
L000270,C00933,BR013,Personal,30-01-2023,67049.78,13.84,60,Approved,Closed,46398.45
L000271,C00201,BR015,Business,19-09-2025,529894.11,7.9,24,Approved,Active,83723.27
L000272,C02602,BR008,Education,22-04-2024,321681.13,12.03,24,Approved,Active,77396.48
L000273,C01858,BR007,Personal,04-03-2024,484750.92,8.8,240,Rejected,Rejected,853161.62
L000274,C00500,BR001,Home,25-01-2024,2430985.69,12,60,Approved,Active,1458591.41
L000275,C01494,BR003,Home,07-07-2025,1217722.97,7.56,60,Pending,Under Review,460299.28
L000276,C02014,BR014,Education,26-05-2024,220506.45,12.21,24,Rejected,Rejected,53847.68
L000277,C00523,BR006,Personal,16-08-2024,450320.17,9.34,120,Rejected,Rejected,420599.04
L000278,C00844,BR012,Personal,07-10-2024,425373.82,7.53,36,Approved,Active,96091.95
L000279,C02372,BR008,Personal,06-01-2023,311137.41,11.97,84,Approved,Active,260702.04
L000280,C01096,BR005,Business,20-04-2024,650446.6,9.27,84,Approved,Active,422074.8
L000281,C01769,BR005,Home,01-12-2024,2833304.78,14.59,60,Rejected,Rejected,2066895.84
L000282,C00561,BR006,Home,24-11-2024,1294412.63,8.57,84,Approved,Active,776518.14
L000283,C00954,BR006,Education,06-11-2023,116056.23,11.01,84,Rejected,Rejected,89444.54
L000284,C02588,BR013,Personal,07-04-2023,87125.32,11.45,240,Approved,Active,199516.98
L000285,C00065,BR006,Personal,17-06-2023,127950.94,12.37,120,Approved,Active,158275.31
L000286,C00936,BR007,Home,08-03-2023,621948.99,11.87,120,Approved,Active,738253.45
L000287,C00992,BR005,Personal,01-03-2023,731990.21,13.34,84,Pending,Under Review,683532.46
L000288,C02678,BR009,Business,04-10-2023,2408757.36,12.33,48,Approved,Active,1187999.13
L000289,C01586,BR006,Business,01-06-2025,1768726.31,10.81,36,Rejected,Rejected,573597.94
L000290,C02947,BR003,Business,04-11-2024,2400780.65,8.26,36,Approved,Active,594913.45
L000291,C00141,BR003,Education,30-11-2024,136156.77,9.06,60,Approved,Active,61679.02
L000292,C01726,BR007,Auto,09-10-2023,1100476.85,8.32,12,Approved,Active,91559.67
L000293,C01528,BR004,Business,31-08-2025,1633939.98,7.34,60,Approved,Active,599655.97
L000294,C01594,BR001,Business,14-09-2024,1415956,13.4,48,Pending,Under Review,758952.42
