Transaction_ID,Account_ID,Customer_ID,Branch_ID,Transaction_Date.1,Transaction_Type,Channel,Amount,Transaction_Status
T0000059,A003816,C02852,BR002,10-12-2023,Withdrawal,Debit Card,4842.86,Completed
T0000060,A001696,C02334,BR007,02-12-2023,Deposit,UPI,2952.84,Completed
T0000061,A000147,C00813,BR008,18-04-2024,Withdrawal,Mobile App,6238.48,Completed
T0000062,A002384,C02310,BR012,17-11-2024,Withdrawal,Debit Card,15582.91,Completed
T0000063,A003265,C01822,BR001,26-09-2023,Deposit,UPI,3774.54,Completed
T0000064,A001729,C00161,BR005,02-06-2025,Deposit,Mobile App,1434.02,Completed
T0000065,A001912,C02054,BR015,18-01-2024,Withdrawal,Branch,36202.78,Completed
T0000066,A003865,C01016,BR006,01-04-2025,Withdrawal,ATM,2383.19,Completed
T0000067,A002470,C00053,BR005,02-10-2025,Withdrawal,UPI,10490.72,Completed
T0000068,A001276,C01261,BR008,27-11-2023,Withdrawal,Debit Card,12378.23,Completed
T0000069,A001517,C00397,BR013,10-07-2024,Withdrawal,UPI,3864.72,Completed
T0000070,A003189,C02435,BR002,11-09-2024,Withdrawal,Net Banking,7119.71,Completed
T0000071,A003137,C02212,BR010,31-03-2025,Deposit,Mobile App,40709.68,Completed
T0000072,A000387,C00183,BR005,24-02-2024,Deposit,Debit Card,1516.73,Completed
T0000073,A003250,C00175,BR012,13-03-2025,Deposit,Net Banking,25403.08,Completed
T0000074,A001398,C01019,BR009,13-12-2024,Withdrawal,ATM,8830.08,Completed
T0000075,A000562,C01757,BR006,28-12-2023,Withdrawal,Branch,3781.96,Completed
T0000076,A000664,C02579,BR009,13-08-2025,Deposit,Net Banking,12437.91,Completed
T0000077,A003706,C01306,BR005,11-02-2023,Withdrawal,UPI,5522.28,Completed
T0000078,A000924,C01224,BR008,09-07-2025,Transfer,Debit Card,9791.39,Completed
T0000079,A002158,C00129,BR013,27-01-2024,Deposit,UPI,18617.64,Completed
T0000080,A002371,C00088,BR006,30-08-2025,Withdrawal,UPI,20221.8,Pending
T0000081,A002095,C00910,BR006,26-09-2023,Withdrawal,UPI,5562.94,Completed
T0000082,A001437,C00108,BR003,17-03-2024,Withdrawal,Net Banking,18740.08,Completed
T0000083,A000107,C02620,BR008,24-04-2023,Deposit,UPI,63481.07,Completed
T0000084,A000205,C01146,BR011,08-06-2025,Transfer,Mobile App,2562.86,Completed
T0000085,A002021,C00214,BR006,09-02-2025,Deposit,Net Banking,3747.43,Completed
T0000086,A003627,C00540,BR012,17-02-2024,Withdrawal,Mobile App,1937.16,Completed
T0000087,A003541,C02003,BR006,20-10-2024,Withdrawal,UPI,49605.89,Completed
T0000088,A002837,C00458,BR006,22-04-2023,Withdrawal,UPI,8655.74,Completed
T0000089,A001188,C01640,BR011,01-12-2024,Withdrawal,Debit Card,7025.89,Completed
T0000090,A004012,C01361,BR015,07-10-2024,Withdrawal,Debit Card,15187.73,Completed
T0000091,A001608,C00927,BR005,11-08-2025,Withdrawal,UPI,21177.09,Completed
T0000092,A003362,C00742,BR013,15-10-2024,Withdrawal,Branch,10419.51,Completed
T0000093,A000574,C01432,BR005,09-12-2023,Withdrawal,Debit Card,33966.1,Completed
T0000094,A002350,C02081,BR014,13-04-2025,Withdrawal,ATM,7544.19,Completed
T0000095,A000919,C01220,BR005,05-04-2025,Transfer,ATM,2563.67,Completed
T0000096,A001934,C02042,BR006,10-07-2025,Transfer,ATM,37792.88,Completed
T0000097,A003283,C00023,BR011,24-12-2024,Deposit,Debit Card,6994.8,Completed
T0000098,A003976,C00715,BR005,08-09-2025,Transfer,ATM,1595.44,Completed
T0000099,A000285,C01645,BR005,05-11-2024,Withdrawal,UPI,429.14,Completed
T0000100,A001781,C00370,BR008,08-02-2025,Withdrawal,Net Banking,1883.11,Completed
T0000101,A000303,C02108,BR004,12-10-2025,Withdrawal,UPI,4391.23,Completed
T0000102,A002289,C00909,BR006,17-11-2024,Deposit,Net Banking,8531.55,Completed
T0000103,A004182,C00138,BR003,11-10-2024,Withdrawal,ATM,11350.27,Completed
T0000104,A001402,C01145,BR007,18-01-2023,Deposit,Branch,1832.72,Completed
T0000105,A001602,C00380,BR011,11-09-2023,Transfer,UPI,6015.72,Completed
T0000106,A001179,C02409,BR010,05-05-2023,Withdrawal,Branch,4342.31,Completed
T0000107,A003559,C01768,BR010,19-11-2023,Deposit,Mobile App,12529.29,Completed
T0000108,A003552,C00350,BR005,03-06-2023,Withdrawal,Branch,19257.01,Completed
T0000109,A003401,C01283,BR014,11-11-2024,Withdrawal,ATM,40974.28,Completed
T0000110,A001038,C02227,BR005,12-10-2023,Withdrawal,Net Banking,33078.42,Completed
T0000111,A000908,C02618,BR010,18-09-2023,Deposit,Debit Card,2143.91,Completed
T0000112,A000606,C00526,BR010,05-09-2025,Withdrawal,Debit Card,9973.51,Completed
T0000113,A000795,C02027,BR005,23-04-2024,Transfer,UPI,6458.37,Completed
T0000114,A003058,C01739,BR002,06-03-2025,Deposit,UPI,7136.11,Completed
T0000115,A002301,C00008,BR010,07-03-2023,Withdrawal,UPI,7736.55,Completed
T0000116,A003533,C02246,BR010,25-11-2024,Deposit,ATM,41718.15,Completed
T0000117,A002763,C00927,BR005,23-08-2025,Withdrawal,UPI,17053.9,Completed
T0000118,A003897,C02897,BR009,17-05-2023,Withdrawal,Branch,8881.05,Failed
T0000119,A000220,C01940,BR008,15-07-2023,Transfer,Mobile App,9777.67,Completed
T0000120,A002802,C02453,BR002,18-12-2024,Withdrawal,UPI,2492.8,Completed
T0000121,A000497,C00894,BR002,10-11-2024,Transfer,Branch,15996.83,Completed
T0000122,A001464,C01207,BR001,11-03-2025,Transfer,UPI,6529.19,Completed
T0000123,A001908,C00685,BR011,09-10-2023,Transfer,UPI,3819.98,Completed
T0000124,A002145,C01593,BR001,04-12-2023,Withdrawal,ATM,2299.2,Completed
T0000125,A000887,C02019,BR011,24-03-2023,Deposit,Mobile App,57354.66,Completed
T0000126,A000783,C01640,BR011,25-09-2023,Withdrawal,ATM,5188.8,Completed
T0000127,A000622,C00667,BR008,04-12-2024,Withdrawal,Net Banking,20428.84,Completed
T0000128,A000891,C01046,BR001,22-01-2025,Withdrawal,Mobile App,11753.47,Completed
T0000129,A002901,C02196,BR014,08-09-2024,Transfer,Net Banking,29419,Completed
T0000130,A003765,C00271,BR001,12-05-2023,Deposit,ATM,1688.66,Completed
T0000131,A001433,C01926,BR003,04-08-2025,Transfer,ATM,31408.1,Completed
T0000132,A003566,C02483,BR004,29-09-2024,Transfer,ATM,38524.22,Completed
T0000133,A003425,C02217,BR007,08-02-2023,Withdrawal,UPI,3207.13,Completed
T0000134,A001172,C01622,BR003,04-12-2025,Transfer,UPI,18606.51,Completed
T0000135,A000809,C01910,BR011,03-10-2024,Deposit,Branch,3265.07,Completed
T0000136,A001598,C00435,BR006,28-01-2023,Deposit,Net Banking,6056.66,Completed
T0000137,A000490,C01776,BR008,20-03-2024,Deposit,UPI,3078.55,Completed
T0000138,A004027,C00899,BR012,19-07-2023,Deposit,ATM,14506.43,Completed
T0000139,A003410,C01488,BR003,06-01-2023,Deposit,UPI,6147.86,Completed
T0000140,A001647,C00606,BR008,04-08-2024,Deposit,ATM,8285.99,Completed
T0000141,A002142,C02688,BR015,24-01-2023,Deposit,Net Banking,3022.86,Completed
T0000142,A001376,C02798,BR005,19-03-2023,Withdrawal,UPI,20818.45,Completed
T0000143,A000012,C00967,BR011,26-06-2024,Deposit,Branch,6590.73,Completed
T0000144,A000843,C02191,BR007,14-02-2025,Withdrawal,UPI,9412.63,Failed
T0000145,A000205,C01146,BR011,30-01-2024,Withdrawal,UPI,4852.75,Completed
T0000146,A001713,C00200,BR009,30-03-2023,Withdrawal,Debit Card,1500.4,Completed
T0000147,A001752,C00420,BR010,21-02-2025,Transfer,Branch,3313.98,Completed
T0000148,A001528,C00573,BR005,30-07-2023,Withdrawal,UPI,6644.65,Completed
T0000149,A002885,C01103,BR008,22-09-2023,Withdrawal,UPI,7072,Completed
T0000150,A003087,C01416,BR014,23-08-2024,Deposit,Debit Card,37840.64,Completed
T0000151,A002317,C02012,BR003,30-07-2023,Deposit,UPI,39550.11,Completed
T0000152,A001458,C01957,BR004,12-06-2025,Withdrawal,Branch,16690.64,Completed
T0000153,A001466,C02359,BR005,26-05-2025,Transfer,Net Banking,61015.7,Completed
T0000154,A001925,C01077,BR004,07-02-2024,Withdrawal,Debit Card,5197.49,Completed
T0000155,A003081,C02605,BR005,14-03-2025,Transfer,ATM,16752.66,Completed
T0000156,A001350,C01776,BR008,03-03-2023,Transfer,Net Banking,12015.09,Pending
T0000157,A002996,C01013,BR009,21-06-2025,Transfer,UPI,12989.73,Completed
T0000158,A001342,C02609,BR007,17-01-2024,Withdrawal,Mobile App,3335.14,Completed
T0000159,A002287,C01709,BR004,11-11-2025,Transfer,ATM,9193.67,Completed
T0000160,A001056,C02640,BR006,22-03-2023,Withdrawal,UPI,5578.74,Pending
T0000161,A000378,C00339,BR001,13-08-2023,Withdrawal,UPI,2853.75,Completed
T0000162,A002093,C00064,BR010,26-07-2023,Deposit,ATM,14170.54,Completed
T0000163,A002964,C02061,BR004,10-11-2024,Transfer,UPI,1519.82,Completed
T0000164,A001802,C02279,BR010,28-05-2024,Deposit,Net Banking,29450.53,Pending
T0000165,A003270,C00016,BR005,05-02-2023,Deposit,Branch,9040.52,Completed
T0000166,A000242,C00774,BR003,23-08-2025,Withdrawal,UPI,2713.18,Completed
T0000167,A000193,C00554,BR013,14-01-2024,Deposit,ATM,6140.08,Completed
T0000168,A003909,C02978,BR012,06-09-2025,Withdrawal,ATM,8251.54,Completed
T0000169,A002380,C01810,BR006,27-01-2024,Transfer,UPI,24864.05,Completed
T0000170,A001465,C02986,BR001,10-02-2025,Withdrawal,Net Banking,32922.67,Completed
T0000171,A002713,C02064,BR005,21-11-2025,Deposit,Branch,7059.01,Completed
T0000172,A003182,C02533,BR009,12-07-2025,Deposit,Branch,7836.72,Completed
T0000173,A003707,C01116,BR002,26-01-2025,Withdrawal,UPI,56215.09,Completed
T0000174,A003810,C01553,BR005,09-08-2024,Deposit,Branch,1723.9,Completed
T0000175,A001482,C02787,BR002,08-06-2025,Deposit,Branch,1976.78,Completed
T0000176,A000048,C00766,BR011,13-11-2025,Deposit,UPI,35948.87,Completed
T0000177,A001713,C00200,BR009,01-07-2024,Deposit,UPI,6841.13,Completed
T0000178,A000518,C02330,BR005,03-07-2025,Transfer,ATM,16724.14,Completed
T0000179,A002168,C00672,BR013,08-01-2023,Deposit,Branch,35312.16,Completed
T0000180,A000801,C01222,BR005,21-12-2024,Withdrawal,ATM,1258.15,Completed
T0000181,A002817,C02661,BR008,14-11-2025,Withdrawal,Debit Card,31136.99,Completed
T0000182,A003721,C00882,BR015,14-09-2023,Deposit,Branch,18014.13,Completed
T0000183,A000843,C02191,BR007,04-06-2025,Deposit,Branch,1940.42,Completed
T0000184,A002292,C02430,BR009,14-04-2025,Deposit,UPI,5036.23,Completed
T0000185,A004021,C00830,BR012,15-06-2023,Transfer,ATM,8835.21,Completed
T0000186,A001306,C00653,BR006,17-08-2025,Deposit,UPI,16327.49,Completed
T0000187,A003326,C01353,BR002,23-10-2024,Withdrawal,UPI,3017.5,Completed
T0000188,A000186,C02789,BR012,08-06-2024,Withdrawal,ATM,18494.31,Completed
T0000189,A002668,C01500,BR013,29-10-2023,Withdrawal,Net Banking,9296.16,Completed
T0000190,A000150,C01481,BR006,03-02-2024,Withdrawal,Branch,3658.43,Completed
T0000191,A000302,C02641,BR005,22-06-2024,Deposit,Mobile App,4975.84,Completed
T0000192,A002426,C02337,BR002,04-02-2024,Deposit,Branch,13856.92,Completed
T0000193,A003665,C02597,BR013,02-05-2024,Withdrawal,UPI,4588.82,Completed
T0000194,A002954,C00020,BR009,04-04-2025,Deposit,Branch,6055.06,Completed
T0000195,A001734,C00072,BR005,11-08-2023,Transfer,UPI,5924.43,Completed
T0000196,A001620,C01837,BR005,07-11-2025,Withdrawal,Debit Card,1648.95,Completed
T0000197,A001979,C01749,BR011,18-01-2024,Deposit,UPI,4989.73,Completed
T0000198,A001208,C00609,BR012,14-03-2024,Deposit,Net Banking,6700.07,Completed
T0000199,A000068,C00560,BR003,05-04-2024,Withdrawal,Debit Card,8586.08,Completed
T0000200,A003388,C01758,BR001,27-04-2023,Transfer,ATM,17101.22,Completed
T0000201,A002225,C02906,BR005,11-08-2024,Deposit,ATM,3378.25,Completed
T0000202,A003636,C02513,BR008,16-02-2023,Deposit,Branch,21501.66,Completed
T0000203,A002442,C02843,BR002,13-06-2025,Withdrawal,ATM,5770.65,Completed
T0000204,A001611,C00202,BR005,30-06-2025,Withdrawal,Mobile App,7839.44,Completed
T0000205,A000258,C00500,BR001,16-12-2023,Withdrawal,UPI,1685.78,Completed
T0000206,A003143,C01616,BR005,07-12-2023,Withdrawal,UPI,2948.92,Completed
T0000207,A002547,C02901,BR009,02-10-2023,Deposit,Mobile App,21348.02,Completed
T0000208,A003652,C02343,BR009,21-06-2025,Withdrawal,ATM,3263.08,Completed
T0000209,A001028,C02711,BR005,06-12-2025,Transfer,Debit Card,3029.16,Completed
T0000210,A001599,C00992,BR005,08-05-2023,Deposit,Branch,9009.97,Completed
T0000211,A001015,C00995,BR012,30-05-2023,Withdrawal,Debit Card,16668.54,Completed
T0000212,A000676,C01266,BR006,13-02-2023,Deposit,ATM,7322.45,Completed
T0000213,A003743,C00924,BR010,21-04-2024,Deposit,Mobile App,1203.63,Completed
T0000214,A001548,C00308,BR010,06-12-2023,Deposit,UPI,2111.47,Completed
T0000215,A000022,C02429,BR010,12-03-2024,Transfer,Net Banking,32321.38,Completed
T0000216,A000262,C02761,BR005,12-12-2023,Transfer,Net Banking,16023.58,Completed
T0000217,A001427,C02849,BR006,25-08-2024,Withdrawal,UPI,1679.87,Completed
T0000218,A000150,C01481,BR006,29-12-2025,Withdrawal,Debit Card,6403.67,Completed
T0000219,A003729,C02264,BR013,03-12-2025,Withdrawal,UPI,51272.59,Completed
T0000220,A003465,C01495,BR015,19-09-2023,Deposit,Debit Card,8442.28,Completed
T0000221,A003807,C02549,BR008,12-07-2025,Deposit,ATM,4113.61,Completed
T0000222,A003582,C01224,BR008,23-03-2025,Deposit,Branch,2008.66,Completed
T0000223,A000207,C00395,BR011,23-09-2025,Withdrawal,ATM,5486.79,Completed
T0000224,A002719,C01858,BR007,06-10-2025,Deposit,Branch,18759.7,Completed
T0000225,A003586,C02334,BR007,21-04-2023,Deposit,Net Banking,67699.15,Completed
T0000226,A003599,C01393,BR011,07-05-2025,Withdrawal,ATM,31214.01,Completed
T0000227,A001931,C00194,BR001,12-04-2025,Transfer,Debit Card,13369.27,Completed
T0000228,A003929,C01849,BR006,03-12-2025,Withdrawal,Mobile App,7651.56,Completed
T0000229,A000705,C02657,BR005,06-04-2025,Withdrawal,Mobile App,2801.01,Completed
T0000230,A002884,C02760,BR008,03-07-2023,Deposit,Debit Card,6630.9,Completed
T0000231,A001121,C02869,BR015,03-01-2024,Deposit,UPI,1438.69,Completed
T0000232,A003829,C00826,BR004,19-01-2025,Deposit,Mobile App,20086.05,Completed
T0000233,A003765,C00271,BR001,20-12-2023,Deposit,Net Banking,10222.3,Completed
T0000234,A003863,C01205,BR007,26-07-2024,Withdrawal,UPI,7577.74,Completed
T0000235,A000264,C02739,BR013,22-10-2024,Transfer,Net Banking,2055.14,Completed
T0000236,A001153,C01937,BR008,11-08-2025,Deposit,Net Banking,11753.2,Completed
T0000237,A001642,C02198,BR005,04-06-2023,Deposit,ATM,6581.28,Completed
T0000238,A003990,C01898,BR007,25-03-2025,Deposit,UPI,13208.26,Completed
T0000239,A002791,C02133,BR012,08-10-2025,Deposit,Branch,8163.7,Completed
T0000240,A004133,C00166,BR010,03-05-2025,Withdrawal,UPI,23380.66,Completed
T0000241,A003641,C00445,BR014,02-01-2023,Withdrawal,UPI,878.07,Completed
T0000242,A001175,C00480,BR014,28-02-2024,Withdrawal,Debit Card,10807.72,Completed
T0000243,A000795,C02027,BR005,07-08-2024,Deposit,Branch,20210.39,Completed
T0000244,A002636,C02049,BR006,11-01-2025,Withdrawal,UPI,10429.19,Completed
T0000245,A003291,C00746,BR002,25-05-2025,Deposit,Net Banking,8272.43,Completed
T0000246,A000925,C02856,BR007,23-08-2025,Deposit,UPI,33351.04,Pending
T0000247,A002819,C02602,BR008,13-06-2025,Transfer,Branch,2604.2,Completed
T0000248,A001654,C00679,BR005,05-08-2023,Transfer,ATM,2455.97,Completed
T0000249,A003282,C00787,BR015,28-12-2024,Deposit,UPI,8490.69,Completed
T0000250,A002622,C00443,BR009,04-02-2023,Withdrawal,ATM,18464.65,Pending
T0000251,A002926,C01057,BR005,26-05-2023,Withdrawal,Debit Card,11426.12,Completed
T0000252,A000158,C00118,BR007,08-12-2023,Transfer,UPI,29471.46,Completed
T0000253,A003541,C02003,BR006,24-11-2024,Deposit,Branch,44705.88,Completed
T0000254,A002715,C02591,BR011,03-08-2025,Deposit,Mobile App,5358.82,Completed
T0000255,A000844,C02327,BR002,20-03-2025,Withdrawal,UPI,16133.51,Completed
T0000256,A002042,C01414,BR002,24-05-2024,Deposit,UPI,17038.87,Completed
T0000257,A001174,C01124,BR010,09-04-2023,Transfer,Mobile App,15872.19,Completed
T0000258,A000520,C00439,BR002,09-10-2023,Deposit,ATM,5134.8,Completed
T0000259,A001999,C00091,BR008,14-12-2024,Withdrawal,UPI,5303.42,Completed
T0000260,A002876,C01208,BR001,25-09-2025,Deposit,ATM,7682.32,Completed
T0000261,A003298,C00663,BR005,11-05-2023,Withdrawal,Net Banking,23539.79,Completed
T0000262,A003959,C01616,BR005,16-02-2023,Deposit,ATM,1695.2,Completed
T0000263,A002640,C01272,BR005,22-07-2024,Deposit,Net Banking,14693.28,Completed
T0000264,A000010,C01001,BR007,02-06-2025,Deposit,ATM,3368.05,Completed
T0000265,A001673,C00900,BR008,28-08-2023,Withdrawal,Net Banking,15670.6,Completed
T0000266,A001839,C02517,BR007,25-05-2025,Deposit,Mobile App,5815.06,Completed
T0000267,A004124,C01503,BR004,26-12-2025,Deposit,Debit Card,16565.81,Completed
T0000268,A000530,C01260,BR006,22-07-2024,Transfer,Net Banking,25332.29,Completed
T0000269,A003713,C00884,BR007,06-02-2025,Deposit,ATM,574.84,Completed
T0000270,A000870,C02503,BR002,17-10-2023,Deposit,Debit Card,3815.68,Completed
T0000271,A002809,C02826,BR010,07-02-2025,Withdrawal,ATM,8486.87,Completed
T0000272,A002065,C00033,BR011,21-04-2024,Deposit,Mobile App,5045.25,Completed
T0000273,A004083,C02047,BR007,27-05-2025,Withdrawal,UPI,1582.36,Completed
T0000274,A001224,C00597,BR001,24-01-2024,Withdrawal,UPI,9388.43,Completed
T0000275,A001998,C01533,BR010,19-09-2024,Transfer,Net Banking,2131.78,Completed
T0000276,A002727,C01680,BR005,05-06-2023,Deposit,Branch,30005.56,Completed
T0000277,A000785,C00358,BR008,25-12-2024,Withdrawal,Mobile App,5181.84,Completed
T0000278,A001109,C01287,BR014,14-10-2024,Transfer,ATM,5263.87,Completed
T0000279,A003151,C01428,BR011,04-02-2024,Withdrawal,ATM,25884.71,Completed
T0000280,A003261,C01563,BR014,03-08-2023,Deposit,UPI,2398.56,Completed
T0000281,A002832,C01846,BR007,09-11-2025,Deposit,Branch,2477.23,Completed
T0000282,A000771,C02992,BR005,27-12-2025,Withdrawal,Debit Card,7741.33,Completed
T0000283,A000902,C02333,BR011,01-07-2024,Withdrawal,UPI,12998.23,Completed
T0000284,A003811,C00761,BR008,21-09-2024,Deposit,Net Banking,3986.01,Completed
T0000285,A003781,C01573,BR009,28-11-2024,Withdrawal,ATM,1304.27,Completed
T0000286,A001681,C00325,BR005,09-05-2023,Deposit,Branch,7623.41,Completed
T0000287,A002318,C00480,BR014,30-09-2023,Transfer,UPI,7385.49,Completed
T0000288,A000233,C01297,BR012,04-11-2024,Withdrawal,Net Banking,5602.85,Completed
T0000289,A002754,C00021,BR005,10-11-2024,Withdrawal,Debit Card,8518.08,Completed
T0000290,A000419,C00406,BR003,21-02-2024,Withdrawal,Mobile App,21113.2,Completed
T0000291,A000361,C02053,BR007,06-07-2024,Deposit,Branch,8104.44,Completed
T0000292,A002239,C01394,BR008,23-07-2023,Deposit,UPI,11848.25,Completed
T0000293,A003569,C01390,BR012,10-03-2025,Transfer,Net Banking,11888.46,Completed
T0000294,A003827,C00063,BR002,22-11-2023,Transfer,Net Banking,10430.96,Completed
T0000295,A001804,C02327,BR002,22-12-2025,Deposit,Net Banking,5626.58,Completed
T0000296,A002165,C02147,BR007,08-10-2023,Transfer,ATM,10335.91,Completed
T0000297,A002286,C01153,BR010,16-02-2023,Deposit,UPI,24374.66,Completed
T0000298,A001891,C00335,BR011,30-09-2024,Withdrawal,Branch,4169.53,Completed
T0000299,A003029,C01394,BR008,19-06-2023,Transfer,Net Banking,2029.53,Completed
T0000300,A003246,C02721,BR010,30-10-2023,Deposit,Net Banking,16075.16,Completed
T0000301,A001953,C02138,BR006,28-07-2024,Deposit,Branch,4186.2,Completed
T0000302,A000953,C00734,BR005,22-02-2023,Withdrawal,Net Banking,14561.78,Completed
T0000303,A003524,C02181,BR004,06-09-2023,Withdrawal,ATM,1821.02,Completed
T0000304,A002842,C02911,BR013,15-06-2025,Withdrawal,ATM,4194.94,Completed
T0000305,A001713,C00200,BR009,17-10-2023,Withdrawal,ATM,11019,Completed
T0000306,A000917,C00414,BR004,09-11-2023,Transfer,Net Banking,5782.13,Completed
T0000307,A001713,C00200,BR009,26-04-2024,Deposit,ATM,12695.09,Completed
T0000308,A003551,C00067,BR007,30-11-2023,Transfer,ATM,17971.07,Completed
T0000309,A001391,C02757,BR002,05-11-2025,Deposit,Net Banking,6838.33,Completed
T0000310,A003702,C01580,BR009,19-04-2024,Transfer,Net Banking,6805.11,Completed
T0000311,A001036,C02173,BR011,29-08-2023,Withdrawal,ATM,6028.94,Completed
T0000312,A000818,C02976,BR015,19-05-2025,Transfer,Debit Card,5992.66,Completed
T0000313,A000275,C02103,BR006,23-01-2023,Transfer,ATM,19386.38,Completed
T0000314,A000604,C01814,BR002,05-11-2024,Deposit,UPI,12857.63,Completed
T0000315,A001095,C02698,BR007,13-06-2024,Withdrawal,ATM,4906.59,Completed
T0000316,A003039,C02874,BR015,07-04-2023,Deposit,Net Banking,33651.22,Completed
T0000317,A002224,C00472,BR011,24-09-2023,Deposit,UPI,40340.96,Completed
T0000318,A002742,C00542,BR009,18-05-2024,Withdrawal,ATM,8274.27,Completed
